,train,val,test
patient_004_node_4,True,False,False
patient_005_node_3,True,False,False
patient_005_node_4,True,False,False
patient_006_node_2,True,False,False
patient_006_node_4,True,False,False
patient_024_node_1,True,False,False
patient_024_node_2,True,False,False
patient_024_node_4,True,False,False
patient_037_node_1,True,False,False
patient_040_node_2,True,False,False
patient_041_node_0,True,False,False
patient_064_node_0,True,False,False
patient_064_node_3,True,False,False
patient_067_node_3,True,False,False
patient_067_node_4,True,False,False
patient_068_node_1,True,False,False
patient_068_node_4,True,False,False
patient_012_node_0,True,False,False
patient_013_node_2,True,False,False
patient_013_node_3,True,False,False
patient_013_node_4,True,False,False
patient_014_node_2,True,False,False
patient_014_node_3,True,False,False
patient_014_node_4,True,False,False
patient_015_node_1,True,False,False
patient_015_node_2,True,False,False
patient_015_node_4,True,False,False
patient_017_node_1,True,False,False
patient_017_node_2,True,False,False
patient_017_node_3,True,False,False
patient_017_node_4,True,False,False
patient_021_node_0,True,False,False
patient_021_node_1,True,False,False
patient_021_node_3,True,False,False
patient_021_node_4,True,False,False
patient_026_node_0,True,False,False
patient_026_node_1,True,False,False
patient_026_node_2,True,False,False
patient_026_node_3,True,False,False
patient_026_node_4,True,False,False
patient_029_node_0,True,False,False
patient_029_node_1,True,False,False
patient_029_node_2,True,False,False
patient_029_node_3,True,False,False
patient_034_node_3,True,False,False
patient_039_node_0,True,False,False
patient_039_node_1,True,False,False
patient_042_node_3,True,False,False
patient_044_node_3,True,False,False
patient_044_node_4,True,False,False
patient_047_node_2,True,False,False
patient_051_node_0,True,False,False
patient_051_node_1,True,False,False
patient_051_node_2,True,False,False
patient_051_node_4,True,False,False
patient_052_node_0,True,False,False
patient_052_node_1,True,False,False
patient_052_node_2,True,False,False
patient_052_node_3,True,False,False
patient_063_node_0,True,False,False
patient_063_node_2,True,False,False
patient_063_node_3,True,False,False
patient_063_node_4,True,False,False
patient_065_node_0,True,False,False
patient_065_node_4,True,False,False
patient_066_node_2,True,False,False
patient_066_node_3,True,False,False
patient_070_node_3,True,False,False
patient_073_node_1,True,False,False
patient_073_node_3,True,False,False
patient_077_node_2,True,False,False
patient_077_node_4,True,False,False
patient_007_node_4,True,False,False
patient_008_node_0,True,False,False
patient_010_node_0,True,False,False
patient_010_node_4,True,False,False
patient_011_node_0,True,False,False
patient_018_node_1,True,False,False
patient_018_node_2,True,False,False
patient_018_node_3,True,False,False
patient_018_node_4,True,False,False
patient_022_node_0,True,False,False
patient_022_node_1,True,False,False
patient_022_node_4,True,False,False
patient_027_node_0,True,False,False
patient_027_node_2,True,False,False
patient_027_node_4,True,False,False
patient_028_node_0,True,False,False
patient_028_node_1,True,False,False
patient_028_node_2,True,False,False
patient_028_node_3,True,False,False
patient_030_node_4,True,False,False
patient_032_node_1,True,False,False
patient_036_node_3,True,False,False
patient_038_node_0,True,False,False
patient_038_node_2,True,False,False
patient_038_node_4,True,False,False
patient_046_node_3,True,False,False
patient_046_node_4,True,False,False
patient_048_node_0,True,False,False
patient_048_node_1,True,False,False
patient_049_node_1,True,False,False
patient_049_node_2,True,False,False
patient_009_node_0,False,True,False
patient_009_node_1,False,True,False
patient_080_node_0,False,True,False
patient_080_node_1,False,True,False
patient_080_node_2,False,True,False
patient_080_node_3,False,True,False
patient_080_node_4,False,True,False
patient_019_node_0,False,True,False
patient_019_node_1,False,True,False
patient_019_node_2,False,True,False
patient_019_node_3,False,True,False
patient_084_node_2,False,True,False
patient_084_node_3,False,True,False
patient_075_node_4,False,True,False
patient_069_node_0,False,True,False
patient_069_node_1,False,True,False
patient_069_node_2,False,True,False
patient_069_node_3,False,True,False
patient_074_node_4,False,True,False
patient_061_node_4,False,True,False
patient_060_node_0,False,False,True
patient_060_node_3,False,False,True
patient_016_node_0,False,False,True
patient_016_node_1,False,False,True
patient_062_node_0,False,False,True
patient_062_node_1,False,False,True
patient_062_node_2,False,False,True
patient_062_node_3,False,False,True
patient_072_node_0,False,False,True
patient_072_node_1,False,False,True
patient_072_node_2,False,False,True
patient_072_node_4,False,False,True
patient_094_node_0,False,False,True
patient_094_node_1,False,False,True
patient_094_node_2,False,False,True
patient_094_node_4,False,False,True
patient_045_node_0,False,False,True
patient_045_node_1,False,False,True
patient_045_node_3,False,False,True
patient_045_node_4,False,False,True
patient_033_node_1,False,False,True
patient_033_node_2,False,False,True
patient_033_node_3,False,False,True
patient_020_node_1,False,False,True
patient_020_node_2,False,False,True
patient_020_node_4,False,False,True
